births_2017_18, natural_increase_2020_21, births_2020_21, births_2016_17, state_name_2021, net_internal_migration_2019_20, deaths_2018_19, internal_departures_2018_19, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, lga_name_2021, internal_arrivals_2017_18, overseas_departures_2020_21, deaths_2017_18, internal_arrivals_2016_17, lga_code_2021, net_overseas_migration_2019_20, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, erp_2021, erp_2020, erp_change_per_cent_2020_21, net_overseas_migration_2016_17, overseas_arrivals_2020_21, net_internal_migration_2018_19, overseas_arrivals_2016_17, net_overseas_migration_2018_19, overseas_arrivals_2017_18, area_km2, net_internal_migration_2020_21, overseas_arrivals_2019_20, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, births_2019_20, erp_2012, erp_2011, erp_2010, internal_departures_2019_20, erp_2016, deaths_2020_21, erp_2015, erp_2014, erp_2013, internal_departures_2020_21, erp_change_number_2020_21, internal_arrivals_2019_20, overseas_arrivals_2018_19, overseas_departures_2019_20, internal_departures_2017_18, deaths_2019_20, state_code_2021, natural_increase_2016_17, pop_density_2021_people_per_km2, net_overseas_migration_2020_21, primaryindex, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, internal_arrivals_2020_21, erp_2004, internal_arrivals_2018_19, net_overseas_migration_2017_18, natural_increase_2019_20, births_2018_19
112,10,90,86,"New South Wales",207,87,665,8,4,44,4,"Dungog",760,3,68,596,"12700",3,532,64,9193,9336,9422,93,9784,9664,1.24170005321503,6,4,72,10,6,10,2249.99829101562,109,8,8286,8415,8245,8245,64,97,8657,8556,8457,519,9101,80,9008,8918,8791,645,120,726,10,5,667,65,1,22,4.3484001159668,1,38,4,8338,8312,8321,8263,754,8233,737,6,32,95
109,-6,91,95,"New South Wales",-22,87,526,25,26,7,22,"Edward River",505,18,102,488,"12730",19,558,95,8955,8984,9083,-9,9158,9084,0.814599990844727,34,22,45,55,29,53,8883.4462890625,76,48,9110,9072,9287,9228,-70,96,8913,8888,8973,535,8991,97,9012,8962,8929,488,74,513,55,29,514,92,1,0,1.03090000152588,4,39,21,10074,9798,9958,9440,564,9603,571,31,4,112
316,-144,342,304,"New South Wales",619,503,2475,-211,82,-187,74,"Eurobodalla",2968,56,503,2441,"12750",63,2185,492,38097,38253,38469,247,39362,38957,1.03960001468658,110,76,337,177,90,170,3428.16943359375,529,155,36301,36462,35855,36103,256,305,37141,37082,36807,2236,37919,486,37733,37483,37270,2471,405,2855,172,92,2721,499,1,-188,11.4819002151489,20,40,67,33639,34855,34239,35662,3000,35326,2812,96,-194,292
2478,856,2143,2588,"New South Wales",-3882,1298,12037,1216,2485,1292,2258,"Fairfield",9281,1670,1186,8622,"12850",1884,10443,1154,208636,210417,211654,-2448,207922,210809,-1.369500041008,3348,1977,-2772,5390,2793,5195,101.507202148438,-4050,4686,190654,193557,186117,187872,-1821,2369,198106,196479,195174,12395,205675,1287,203490,201788,200098,13232,-2887,8513,5278,2802,11729,1216,1,1434,2048.34741210938,307,41,2042,187825,186489,187089,185740,9182,185562,9265,2937,1153,2514
106,-53,104,132,"New South Wales",187,155,1004,-38,21,-45,18,"Federation",924,14,151,883,"12870",18,899,139,12450,12450,12435,19,12735,12600,1.07140004634857,28,17,-2,46,25,44,5684.92529296875,185,41,12468,12515,12497,12479,-16,126,12510,12509,12520,899,12445,157,12470,12499,12508,959,135,1086,46,23,905,166,1,-7,2.24009990692139,3,42,18,12121,12184,12141,12330,1144,12237,1002,26,-40,117
122,8,103,121,"New South Wales",-6,110,597,12,12,20,10,"Forbes",516,8,102,466,"12900",9,457,97,9865,9898,9904,-1,9934,9921,0.130999997258186,15,9,-19,25,13,24,4710.1279296875,4,23,9526,9562,9540,9573,9,127,9529,9469,9495,584,9817,95,9750,9698,9608,612,13,578,25,14,517,113,1,24,2.1091001033783,1,43,10,10062,9907,9995,9610,616,9744,578,14,14,122
1813,658,1568,1950,"New South Wales",-2367,896,11585,847,3191,873,2947,"Georges River",8315,2184,940,7905,"12930",2466,9887,937,156435,158283,159431,-2842,159266,160253,-0.615899980068207,4243,2651,-3366,6988,3667,6764,38.3375015258789,-2112,6099,135287,137979,130586,132751,-1982,1658,144159,141726,140040,10738,153161,910,151069,148882,146604,11481,-987,8371,6858,3633,11157,935,1,1013,4154.3134765625,467,44,2745,125777,127183,126520,129490,9369,128176,8219,3817,723,1743
53,8,63,45,"New South Wales",-35,51,302,19,13,0,12,"Gilgandra",277,10,53,214,"12950",10,267,58,4249,4221,4239,-44,4205,4229,-0.567499995231628,17,11,-17,29,16,28,4831.505859375,-33,25,4471,4498,4618,4532,-53,58,4464,4515,4529,270,4298,55,4342,4382,4428,323,-24,235,29,15,321,43,1,-13,0.870299994945526,1,45,12,4761,4706,4730,4652,290,4660,285,16,15,70
77,-21,86,81,"New South Wales",18,122,647,-49,11,-56,10,"Glen Innes Severn",650,7,133,465,"13010",8,476,95,8923,8900,8869,21,8816,8874,-0.653599977493286,14,9,7,23,11,22,5479.97705078125,-39,20,8907,8926,8987,8919,-11,101,8905,8911,8939,574,8934,107,8926,8919,8909,788,-58,592,22,12,629,122,1,-14,1.6088000535965,2,46,9,8818,8870,8848,8907,749,8876,654,12,-21,73
302,91,374,349,"New South Wales",279,254,1987,100,115,23,104,"Goulburn Mulwaree",2086,78,279,1659,"13310",87,1541,307,30575,30823,31127,89,31796,31554,0.76690000295639,154,91,75,248,129,240,3220.07958984375,138,216,27166,27654,26695,26803,118,387,28730,28363,28083,1674,30261,283,29815,29486,29187,1983,242,1953,244,129,1997,326,1,42,9.87430000305176,13,47,94,26401,26576,26526,26615,2121,26559,2062,136,61,354
121,21,102,117,"New South Wales",67,95,776,0,16,42,14,"Greater Hume Shire",751,11,79,768,"13340",11,725,93,10608,10675,10763,5,11020,10842,1.6418000459671,22,13,69,35,19,34,5749.3876953125,155,30,9988,10009,9999,9985,43,109,10161,10072,10060,709,10519,81,10441,10318,10220,743,178,776,35,19,746,108,1,24,1.91670000553131,2,48,13,10455,10189,10331,10036,898,10126,845,20,1,95
405,222,412,361,"New South Wales",-225,205,1433,170,259,232,235,"Griffith",1221,175,173,1015,"13450",198,1273,198,26608,26849,27022,-305,27173,27154,0.0700000002980232,347,293,-286,559,289,549,1639.17321777344,-321,488,24817,25100,24450,24583,-258,377,25614,25395,25264,1356,26356,190,26171,25942,25705,1503,19,1131,548,290,1526,218,1,163,16.577299118042,118,49,212,24412,24277,24377,24329,1182,24235,1147,314,159,375
205,145,248,163,"New South Wales",-106,113,977,106,26,72,24,"Gunnedah",987,18,133,858,"13550",21,839,121,12587,12643,12680,-48,12713,12689,0.189099997282028,35,22,-100,57,31,56,4987.029296875,-125,51,11987,12151,11782,11879,19,195,12514,12519,12344,937,12491,103,12447,12468,12481,986,24,831,57,30,1035,101,1,42,2.5492000579834,4,50,22,12306,12036,12193,11792,861,11892,877,32,94,219
48,-13,52,68,"New South Wales",-36,55,350,9,3,-25,2,"Gwydir",425,2,73,317,"13660",2,336,61,5318,5344,5352,47,5323,5299,0.452899992465973,4,3,-4,6,3,6,9259.654296875,36,5,5210,5167,5428,5307,-19,47,5172,5102,5131,343,5326,65,5302,5250,5218,364,24,307,6,3,378,66,1,7,0.574899971485138,1,51,2,5716,5573,5652,5442,400,5492,346,4,-19,64
