DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration
GRIF,Griffith,163.0,QLD,ALP,ALP,0.5286145938946164,0.5143209820101949,0,0.0142936118844214,0.0142936118844214,43.15546233080826,10.72467178777753,1931.5487286401044,1196113.34,-7696.719999999999
GROO,Groom,164.0,QLD,LNP,LNP,0.7048235688542452,0.6530516071761263,0,0.0517719616781189,0.0517719616781189,50.10163917445684,10.818474483263216,1588.3805027068831,171135.0,-90.0
HERB,Herbert,165.0,QLD,LNP,ALP,0.5835808392353972,0.5002094252691398,1,0.0833714139662573,0.0837902645045369,2.349093448193417,0.5504603173382353,85.87618361185831,9899.6,-4.6000000000000005
HINK,Hinkler,166.0,QLD,LNP,LNP,0.6450085263992528,0.5837630879824973,0,0.0612454384167554,0.0612454384167554,27.65557052430907,5.348441235850467,671.0056171170071,51755.7,525.09
KENN,Kennedy,167.0,QLD,KAP,KAP,0.6333036063862183,0.6100223683771242,0,0.023281238009094,0.023281238009094,46.14508941346918,9.476251828224775,1339.690497216334,5752.91,-36.50000000000001
LEIC,Leichhardt,168.0,QLD,LNP,LNP,0.5417163223255554,0.5394719806024082,0,0.0022443417231472,0.0022443417231472,24.00603578540769,5.128605229442163,610.6396828892504,2571.9,8.18
LILL,Lilley,169.0,QLD,ALP,ALP,0.5063609544019461,0.5567538973096687,0,-0.0503929429077226,-0.0503929429077226,44.991864983183085,11.181040800023382,2013.74229156096,1247011.78,-8024.24
LONG,Longman,302.0,QLD,LNP,ALP,0.5327728053521381,0.5078916291956216,1,0.0248811761565165,0.0406644345477597,47.775960650727406,10.616997009311987,1685.5877197625014,467754.0,4418.19
MARA,Maranoa,170.0,QLD,LNP,LNP,0.7248706338939198,0.6586191962153939,0,0.0662514376785259,0.0662514376785259,51.51564263056719,10.487771902723026,1464.1737431701958,6669.050000000001,-36.16
MCPH,McPherson,171.0,QLD,LNP,LNP,0.6219669048107997,0.6163582264499695,0,0.0056086783608302,0.0056086783608302,49.31252577616497,11.113230659804202,1761.5418761712965,643461.0,5126.0
