lga_code_2021,lga_name_2021,area_km2,erp_2021,net_migration_2020_21
56730,Northam,1431.22155761719,11060,24.0
56790,Northampton,12543.7138671875,2826,-54.0
57350,Quairading,2016.9267578125,983,-11.0
57420,Ravensthorpe,9841.75,1603,22.0
56860,Nungarin,1166.02453613281,243,-4.0
57490,Rockingham,257.497894287109,140923,1219.0
60610,Burnie,610.952819824219,19646,-115.0
60810,Central Coast (Tas.),933.089111328125,22176,43.0
61010,Central Highlands (Tas.),7982.41552734375,2160,-13.0
61210,Circular Head,4897.65087890625,8193,-8.0
56930,Peppermint Grove,1.06770002841949,1757,-3.0
57630,Sandstone,32605.291015625,78,3.0
57000,Perenjori,8301.35546875,569,1.0
57080,Perth,13.7334995269775,31240,76.0
57980,Subiaco,5.61819982528687,17210,-311.0
58050,Swan,1042.99365234375,156254,2195.0
58190,Tammin,1101.69201660156,394,-4.0
58260,Three Springs,2656.69287109375,559,-1.0
61410,Clarence,377.961395263672,59251,360.0
61510,Derwent Valley,4108.111328125,10516,-4.0
58330,Toodyay,1691.64855957031,4513,56.0
61610,Devonport,111.259002685547,25635,-135.0
61810,Dorset,3230.54565429688,6689,13.0
62010,Flinders (Tas.),1996.62438964844,1021,17.0
62210,George Town,653.430786132812,7048,-75.0
62410,Glamorgan-Spring Bay,2591.59106445312,4768,33.0
58400,Trayning,1651.20434570312,343,-4.0
62610,Glenorchy,121.163200378418,47289,-940.0
62810,Hobart,77.8964996337891,54251,-1005.0
63010,Huon Valley,5507.35400390625,18239,246.0
63210,Kentish,1156.18884277344,6479,66.0
63410,King Island,1095.74072265625,1603,-10.0
58470,Upper Gascoyne,57809.875,290,-3.0
58510,Victoria Park,17.9395999908447,37571,-378.0
63610,Kingborough,720.109313964844,38618,-89.0
63810,Latrobe (Tas.),600.4619140625,12204,245.0
58540,Victoria Plains,2551.01318359375,911,-13.0
64010,Launceston,1413.63061523438,68388,-571.0
64210,Meander Valley,3330.81469726562,20322,255.0
64610,Northern Midlands,5135.25048828125,13852,215.0
58570,Vincent,11.3770999908447,37028,-507.0
58610,Wagin,1946.17626953125,1793,8.0
58680,Wandering,1903.86450195312,430,2.0
59030,Westonia,3319.44970703125,300,-7.0
64810,Sorell,583.772277832031,16230,120.0
65010,Southern Midlands,2615.49340820312,6493,71.0
65210,Tasman,660.394714355469,2512,50.0
65410,Waratah-Wynyard,3535.90747070312,13946,69.0
65610,West Coast,9583.5390625,4116,-30.0
59100,Wickepin,2040.89855957031,720,-9.0
65810,West Tamar,691.153686523438,24569,103.0
71150,Darwin Waterfront Precinct,0.744700014591217,380,8.0
59170,Williams,2304.7119140625,1023,1.0
59250,Wiluna,181297.34375,691,7.0
70540,Belyuen,41.4053993225098,175,-1.0
71300,East Arnhem,33309.93359375,10376,-123.0
59310,Wongan-Ballidu,3365.0673828125,1268,-26.0
59360,Yilgarn,30428.765625,1135,-19.0
59370,York,2131.59155273438,3618,6.0
60210,Break O`Day,3523.8857421875,6506,192.0
60410,Brighton,171.150802612305,18595,338.0
70200,Alice Springs,327.713195800781,26476,-305.0
70420,Barkly,322710.40625,7457,-58.0
70620,Central Desert,281338.03125,4249,-47.0
72300,Litchfield,2903.33911132812,25726,24.0
72330,MacDonnell,268339.03125,7038,36.0
72800,Palmerston,52.6558990478516,39625,-46.0
73600,Roper Gulf,185213.453125,7489,-12.0
74050,Tiwi Islands,7483.166015625,2731,-15.0
74550,Victoria Daly,153287.375,3176,-38.0
74560,Wagait,5.66279983520508,533,10.0
74660,West Arnhem,49675.03515625,6789,-136.0
74680,West Daly,14069.6982421875,3764,-4.0
79399,Unincorporated NT,19792.888671875,7074,-71.0
89399,Unincorporated ACT,2358.13305664062,431611,-2920.0
99399,Unincorp. Other Territories,105.880599975586,2146,
