DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration,electorate,sentiment
WATS,Watson,251.0,NSW,ALP,ALP,0.6352284866468842,0.6757532798308424,0,-0.0405247931839581,-0.0405247931839581,46.73233522463505,11.142754702763932,1784.5744529665271,302316.3124500163,-4209.562470375004,Watson,0.19926914893617007
WENT,Wentworth,152.0,NSW,LP,LP,0.513069055418143,0.6774841839889645,0,-0.1644151285708215,-0.1644151285708215,46.76109866290071,11.69386345073302,2442.120326954416,93737.4350508596,-2587.6330396675085,Wentworth,0.36702340425531915
WERR,Werriwa,153.0,NSW,ALP,ALP,0.5547124558257012,0.5819652868701112,0,-0.02725283104441,-0.02725283104441,46.18432203952811,10.991998954655786,1835.924936720464,226527.4725331164,976.67006489554,Werriwa,0.6854
WHIT,Whitlam,150.0,NSW,ALP,ALP,0.6091398739663586,0.6372344856309871,0,-0.0280946116646284,-0.0280946116646284,53.43442833506422,10.892592318696767,1788.1119402696138,78108.09438689829,602.550824208069,Whitlam,0.14402554744525548
BEAN,Bean,318.0,ACT,ALP,ALP,0.5751622031655171,0.5885199712723054,0,-0.0133577681067882,-0.0133577681067882,46.179131409088406,11.49484863383024,2295.697372120665,423515.5639030012,-2864.95785825798,Bean,0.18924285714285713
CANB,Canberra,101.0,ACT,ALP,ALP,0.6708216149902202,0.6294063591251609,0,0.0414152558650593,0.0414152558650593,46.100839740995546,11.505109422407012,2314.837479216152,431611.0,-2920.0,Canberra,0.17303408594319009
FENN,Fenner,102.0,ACT,ALP,ALP,0.6055660083340066,0.6183872688257402,0,-0.0128212604917336,-0.0128212604917336,47.272025291878826,11.351615600975968,2028.5156084647865,310509.2529576673,-2096.6101978889747,Fenner,0.3277863636363636
LING,Lingiari,306.0,NT,ALP,ALP,0.5546310443077177,0.5818611952508347,0,-0.0272301509431169,-0.0272301509431169,44.236926457638944,9.988603167778528,1309.2183992561338,6205.354073706483,-31.491815724779595,Lingiari,0.06351220588235294
SOLO,Solomon,307.0,NT,ALP,ALP,0.530825648101082,0.5609121020083858,0,-0.0300864539073038,-0.0300864539073038,45.334735534908944,11.200576644545375,2011.2323172259507,56468.39362537142,-1219.0265984828925,Solomon,0.66677
BLAI,Blair,304.0,QLD,ALP,ALP,0.5120979932238728,0.5813601167096847,0,-0.0692621234858118,-0.0692621234858118,50.85213812096527,10.573378487287576,1492.721751916439,73745.91880275484,775.5246165947034,Blair,0.3008631578947368
